counter,latency,delayTime,Device,Button
0,14,1936,Adafruit_Feather_32u4,2
1,12,5977,Adafruit_Feather_32u4,2
2,11,1567,Adafruit_Feather_32u4,2
3,8,1036,Adafruit_Feather_32u4,2
4,13,6562,Adafruit_Feather_32u4,2
5,12,5698,Adafruit_Feather_32u4,2
6,11,3367,Adafruit_Feather_32u4,2
7,10,2935,Adafruit_Feather_32u4,2
8,18,3547,Adafruit_Feather_32u4,2
9,13,2557,Adafruit_Feather_32u4,2
10,911,2809,Adafruit_Feather_32u4,2
11,15,5626,Adafruit_Feather_32u4,2
12,15,7795,Adafruit_Feather_32u4,2
13,11,703,Adafruit_Feather_32u4,2
14,13,6265,Adafruit_Feather_32u4,2
15,14,4591,Adafruit_Feather_32u4,2
16,12,1027,Adafruit_Feather_32u4,2
17,10,2611,Adafruit_Feather_32u4,2
18,8,1486,Adafruit_Feather_32u4,2
19,25,8794,Adafruit_Feather_32u4,2
20,9,1207,Adafruit_Feather_32u4,2
21,7,1072,Adafruit_Feather_32u4,2
22,13,1747,Adafruit_Feather_32u4,2
23,13,2548,Adafruit_Feather_32u4,2
24,9,6958,Adafruit_Feather_32u4,2
25,10,8380,Adafruit_Feather_32u4,2
26,5,379,Adafruit_Feather_32u4,2
27,10,3088,Adafruit_Feather_32u4,2
28,8,1594,Adafruit_Feather_32u4,2
29,150,8911,Adafruit_Feather_32u4,2
30,23,4852,Adafruit_Feather_32u4,2
31,10,2251,Adafruit_Feather_32u4,2
32,7,1954,Adafruit_Feather_32u4,2
33,8,4105,Adafruit_Feather_32u4,2
34,10,2791,Adafruit_Feather_32u4,2
35,11,5122,Adafruit_Feather_32u4,2
36,10,6283,Adafruit_Feather_32u4,2
37,4,676,Adafruit_Feather_32u4,2
38,7,766,Adafruit_Feather_32u4,2
39,16,2440,Adafruit_Feather_32u4,2
40,9,1162,Adafruit_Feather_32u4,2
41,6,199,Adafruit_Feather_32u4,2
42,19,6310,Adafruit_Feather_32u4,2
43,11,4780,Adafruit_Feather_32u4,2
44,11,4825,Adafruit_Feather_32u4,2
45,6,775,Adafruit_Feather_32u4,2
46,9,6157,Adafruit_Feather_32u4,2
47,10,7291,Adafruit_Feather_32u4,2
48,14,7354,Adafruit_Feather_32u4,2
49,13,1999,Adafruit_Feather_32u4,2
50,11,2062,Adafruit_Feather_32u4,2
51,10,5752,Adafruit_Feather_32u4,2
52,10,5806,Adafruit_Feather_32u4,2
53,6,532,Adafruit_Feather_32u4,2
54,11,3295,Adafruit_Feather_32u4,2
55,8,3187,Adafruit_Feather_32u4,2
56,15,6706,Adafruit_Feather_32u4,2
57,11,1135,Adafruit_Feather_32u4,2
58,7,2773,Adafruit_Feather_32u4,2
59,4,847,Adafruit_Feather_32u4,2
60,8,2584,Adafruit_Feather_32u4,2
61,6,1360,Adafruit_Feather_32u4,2
62,9,2494,Adafruit_Feather_32u4,2
63,6,1675,Adafruit_Feather_32u4,2
64,6,1783,Adafruit_Feather_32u4,2
65,16,2800,Adafruit_Feather_32u4,2
66,8,1729,Adafruit_Feather_32u4,2
67,12,8740,Adafruit_Feather_32u4,2
68,10,8155,Adafruit_Feather_32u4,2
69,6,3556,Adafruit_Feather_32u4,2
70,3,1180,Adafruit_Feather_32u4,2
71,21,6670,Adafruit_Feather_32u4,2
72,7,2854,Adafruit_Feather_32u4,2
73,3,424,Adafruit_Feather_32u4,2
74,9,1621,Adafruit_Feather_32u4,2
75,9,559,Adafruit_Feather_32u4,2
76,11,3268,Adafruit_Feather_32u4,2
77,4,1054,Adafruit_Feather_32u4,2
78,7,1873,Adafruit_Feather_32u4,2
79,10,5338,Adafruit_Feather_32u4,2
80,8,1126,Adafruit_Feather_32u4,2
81,9,7048,Adafruit_Feather_32u4,2
82,13,1900,Adafruit_Feather_32u4,2
83,7,4744,Adafruit_Feather_32u4,2
84,5,1252,Adafruit_Feather_32u4,2
85,11,2845,Adafruit_Feather_32u4,2
86,7,2206,Adafruit_Feather_32u4,2
87,10,6184,Adafruit_Feather_32u4,2
88,10,5518,Adafruit_Feather_32u4,2
89,16,4708,Adafruit_Feather_32u4,2
90,12,7417,Adafruit_Feather_32u4,2
91,11,721,Adafruit_Feather_32u4,2
92,9,2521,Adafruit_Feather_32u4,2
93,7,1396,Adafruit_Feather_32u4,2
94,10,2512,Adafruit_Feather_32u4,2
95,4,1117,Adafruit_Feather_32u4,2
96,10,8830,Adafruit_Feather_32u4,2
97,9,3790,Adafruit_Feather_32u4,2
98,8,5149,Adafruit_Feather_32u4,2
99,8,2053,Adafruit_Feather_32u4,2
100,14,3808,Adafruit_Feather_32u4,2
101,8,2827,Adafruit_Feather_32u4,2
102,7,1171,Adafruit_Feather_32u4,2
103,11,442,Adafruit_Feather_32u4,2
104,8,2701,Adafruit_Feather_32u4,2
105,8,6742,Adafruit_Feather_32u4,2
106,12,7525,Adafruit_Feather_32u4,2
107,10,3943,Adafruit_Feather_32u4,2
108,10,3322,Adafruit_Feather_32u4,2
109,11,7804,Adafruit_Feather_32u4,2
110,8,2341,Adafruit_Feather_32u4,2
111,7,2188,Adafruit_Feather_32u4,2
112,3,451,Adafruit_Feather_32u4,2
113,3,118,Adafruit_Feather_32u4,2
114,6,2728,Adafruit_Feather_32u4,2
115,29,2926,Adafruit_Feather_32u4,2
116,13,6112,Adafruit_Feather_32u4,2
117,5,739,Adafruit_Feather_32u4,2
118,6,604,Adafruit_Feather_32u4,2
119,11,5419,Adafruit_Feather_32u4,2
120,10,7984,Adafruit_Feather_32u4,2
121,3,217,Adafruit_Feather_32u4,2
122,19,6778,Adafruit_Feather_32u4,2
123,8,4771,Adafruit_Feather_32u4,2
124,8,2602,Adafruit_Feather_32u4,2
125,9,1189,Adafruit_Feather_32u4,2
126,8,2431,Adafruit_Feather_32u4,2
127,10,2710,Adafruit_Feather_32u4,2
128,7,2215,Adafruit_Feather_32u4,2
129,8,2404,Adafruit_Feather_32u4,2
130,8,5680,Adafruit_Feather_32u4,2
131,4,1045,Adafruit_Feather_32u4,2
132,6,2674,Adafruit_Feather_32u4,2
133,10,6850,Adafruit_Feather_32u4,2
134,4,325,Adafruit_Feather_32u4,2
135,10,8326,Adafruit_Feather_32u4,2
136,7,2692,Adafruit_Feather_32u4,2
137,10,4123,Adafruit_Feather_32u4,2
138,8,5086,Adafruit_Feather_32u4,2
139,21,3097,Adafruit_Feather_32u4,2
140,16,1756,Adafruit_Feather_32u4,2
141,13,6418,Adafruit_Feather_32u4,2
142,7,3484,Adafruit_Feather_32u4,2
143,9,6337,Adafruit_Feather_32u4,2
144,8,2683,Adafruit_Feather_32u4,2
145,8,1279,Adafruit_Feather_32u4,2
146,8,3646,Adafruit_Feather_32u4,2
147,4,730,Adafruit_Feather_32u4,2
148,15,8542,Adafruit_Feather_32u4,2
149,11,1351,Adafruit_Feather_32u4,2
150,9,8623,Adafruit_Feather_32u4,2
151,8,7039,Adafruit_Feather_32u4,2
152,21,6247,Adafruit_Feather_32u4,2
153,15,5266,Adafruit_Feather_32u4,2
154,10,3115,Adafruit_Feather_32u4,2
155,6,1009,Adafruit_Feather_32u4,2
156,11,5500,Adafruit_Feather_32u4,2
157,6,1000,Adafruit_Feather_32u4,2
158,9,7444,Adafruit_Feather_32u4,2
159,9,8182,Adafruit_Feather_32u4,2
160,12,7075,Adafruit_Feather_32u4,2
161,10,4033,Adafruit_Feather_32u4,2
162,11,3925,Adafruit_Feather_32u4,2
163,8,2197,Adafruit_Feather_32u4,2
164,20,8308,Adafruit_Feather_32u4,2
165,14,5707,Adafruit_Feather_32u4,2
166,769,9064,Adafruit_Feather_32u4,2
167,8,1927,Adafruit_Feather_32u4,2
168,11,4420,Adafruit_Feather_32u4,2
169,13,2080,Adafruit_Feather_32u4,2
170,563,262,Adafruit_Feather_32u4,2
171,14,3349,Adafruit_Feather_32u4,2
172,12,7084,Adafruit_Feather_32u4,2
173,4,433,Adafruit_Feather_32u4,2
174,11,8074,Adafruit_Feather_32u4,2
175,9,8281,Adafruit_Feather_32u4,2
176,8,8470,Adafruit_Feather_32u4,2
177,18,3718,Adafruit_Feather_32u4,2
178,12,1288,Adafruit_Feather_32u4,2
179,10,7939,Adafruit_Feather_32u4,2
180,10,3142,Adafruit_Feather_32u4,2
181,8,2998,Adafruit_Feather_32u4,2
182,25,7201,Adafruit_Feather_32u4,2
183,8,2647,Adafruit_Feather_32u4,2
184,10,3772,Adafruit_Feather_32u4,2
185,14,8110,Adafruit_Feather_32u4,2
186,9,7264,Adafruit_Feather_32u4,2
187,13,6544,Adafruit_Feather_32u4,2
188,12,5140,Adafruit_Feather_32u4,2
189,13,8695,Adafruit_Feather_32u4,2
190,10,6040,Adafruit_Feather_32u4,2
191,8,2566,Adafruit_Feather_32u4,2
192,10,7822,Adafruit_Feather_32u4,2
193,12,2719,Adafruit_Feather_32u4,2
194,13,6625,Adafruit_Feather_32u4,2
195,3,298,Adafruit_Feather_32u4,2
196,13,2989,Adafruit_Feather_32u4,2
197,10,8731,Adafruit_Feather_32u4,2
198,11,7966,Adafruit_Feather_32u4,2
199,12,8524,Adafruit_Feather_32u4,2
200,9,8614,Adafruit_Feather_32u4,2
201,8,1378,Adafruit_Feather_32u4,2
202,21,7705,Adafruit_Feather_32u4,2
203,15,8821,Adafruit_Feather_32u4,2
204,11,5869,Adafruit_Feather_32u4,2
205,10,8839,Adafruit_Feather_32u4,2
206,11,5563,Adafruit_Feather_32u4,2
207,8,469,Adafruit_Feather_32u4,2
208,11,2044,Adafruit_Feather_32u4,2
209,14,6886,Adafruit_Feather_32u4,2
210,12,8101,Adafruit_Feather_32u4,2
211,5,523,Adafruit_Feather_32u4,2
212,8,2890,Adafruit_Feather_32u4,2
213,8,3439,Adafruit_Feather_32u4,2
214,10,5302,Adafruit_Feather_32u4,2
215,22,3538,Adafruit_Feather_32u4,2
216,8,1648,Adafruit_Feather_32u4,2
217,11,3871,Adafruit_Feather_32u4,2
218,11,1342,Adafruit_Feather_32u4,2
219,12,4006,Adafruit_Feather_32u4,2
220,11,3475,Adafruit_Feather_32u4,2
221,9,9055,Adafruit_Feather_32u4,2
222,24,5014,Adafruit_Feather_32u4,2
223,11,1261,Adafruit_Feather_32u4,2
