counter,latency,delayTime,Device,Button
0,11,1225,Adafruit_Feather_32u4,3
1,14,5770,Adafruit_Feather_32u4,3
2,38,2080,Adafruit_Feather_32u4,3
3,13,8515,Adafruit_Feather_32u4,3
4,11,8506,Adafruit_Feather_32u4,3
5,18,7858,Adafruit_Feather_32u4,3
6,14,5095,Adafruit_Feather_32u4,3
7,37,1522,Adafruit_Feather_32u4,3
8,8,8173,Adafruit_Feather_32u4,3
9,3,667,Adafruit_Feather_32u4,3
10,7,7480,Adafruit_Feather_32u4,3
11,13,7426,Adafruit_Feather_32u4,3
12,6,3115,Adafruit_Feather_32u4,3
13,6,6301,Adafruit_Feather_32u4,3
14,15,2026,Adafruit_Feather_32u4,3
15,9,4906,Adafruit_Feather_32u4,3
16,8,8362,Adafruit_Feather_32u4,3
17,10,2089,Adafruit_Feather_32u4,3
18,7,3628,Adafruit_Feather_32u4,3
19,11,3952,Adafruit_Feather_32u4,3
20,10,982,Adafruit_Feather_32u4,3
21,9,6580,Adafruit_Feather_32u4,3
22,8,5293,Adafruit_Feather_32u4,3
23,6,1711,Adafruit_Feather_32u4,3
24,11,7048,Adafruit_Feather_32u4,3
25,10,1972,Adafruit_Feather_32u4,3
26,630,8290,Adafruit_Feather_32u4,3
27,9,1576,Adafruit_Feather_32u4,3
28,10,5500,Adafruit_Feather_32u4,3
29,8,3151,Adafruit_Feather_32u4,3
30,4,730,Adafruit_Feather_32u4,3
31,12,5446,Adafruit_Feather_32u4,3
32,19,7993,Adafruit_Feather_32u4,3
33,12,9019,Adafruit_Feather_32u4,3
34,10,4303,Adafruit_Feather_32u4,3
35,9,8092,Adafruit_Feather_32u4,3
36,25,6805,Adafruit_Feather_32u4,3
37,12,8137,Adafruit_Feather_32u4,3
38,4,109,Adafruit_Feather_32u4,3
39,8,3052,Adafruit_Feather_32u4,3
40,9,2926,Adafruit_Feather_32u4,3
41,6,2863,Adafruit_Feather_32u4,3
42,11,7381,Adafruit_Feather_32u4,3
43,12,1099,Adafruit_Feather_32u4,3
