counter,latency,delayTime,Device,Button
0,12,4627,Adafruit_Feather_32u4,2
1,11,7786,Adafruit_Feather_32u4,2
2,8,892,Adafruit_Feather_32u4,2
3,13,7597,Adafruit_Feather_32u4,2
4,12,5914,Adafruit_Feather_32u4,2
5,18,6661,Adafruit_Feather_32u4,2
6,14,8335,Adafruit_Feather_32u4,2
7,8,541,Adafruit_Feather_32u4,2
8,13,7138,Adafruit_Feather_32u4,2
9,11,2881,Adafruit_Feather_32u4,2
10,9,280,Adafruit_Feather_32u4,2
11,11,2557,Adafruit_Feather_32u4,2
12,12,6814,Adafruit_Feather_32u4,2
13,1779,3709,Adafruit_Feather_32u4,2
14,9,1630,Adafruit_Feather_32u4,2
15,9,1207,Adafruit_Feather_32u4,2
16,10,4222,Adafruit_Feather_32u4,2
17,9,4249,Adafruit_Feather_32u4,2
18,20,8749,Adafruit_Feather_32u4,2
19,20,5563,Adafruit_Feather_32u4,2
20,11,2224,Adafruit_Feather_32u4,2
21,6,460,Adafruit_Feather_32u4,2
22,13,3214,Adafruit_Feather_32u4,2
23,11,1072,Adafruit_Feather_32u4,2
24,19,7642,Adafruit_Feather_32u4,2
25,408,559,Adafruit_Feather_32u4,2
26,8,6913,Adafruit_Feather_32u4,2
27,10,2737,Adafruit_Feather_32u4,2
28,25,2467,Adafruit_Feather_32u4,2
29,9,5608,Adafruit_Feather_32u4,2
30,10,4897,Adafruit_Feather_32u4,2
31,1506,7615,Adafruit_Feather_32u4,2
32,15,3358,Adafruit_Feather_32u4,2
33,8,4960,Adafruit_Feather_32u4,2
34,12,6301,Adafruit_Feather_32u4,2
35,6,766,Adafruit_Feather_32u4,2
36,9,8245,Adafruit_Feather_32u4,2
37,20,3754,Adafruit_Feather_32u4,2
38,15,2872,Adafruit_Feather_32u4,2
39,11,3457,Adafruit_Feather_32u4,2
40,11,7768,Adafruit_Feather_32u4,2
41,9,7966,Adafruit_Feather_32u4,2
42,9,3961,Adafruit_Feather_32u4,2
43,18,3943,Adafruit_Feather_32u4,2
44,11,4258,Adafruit_Feather_32u4,2
45,12,5284,Adafruit_Feather_32u4,2
46,6,910,Adafruit_Feather_32u4,2
47,7,3097,Adafruit_Feather_32u4,2
48,12,7480,Adafruit_Feather_32u4,2
49,13,4915,Adafruit_Feather_32u4,2
50,9,4798,Adafruit_Feather_32u4,2
51,7,2296,Adafruit_Feather_32u4,2
52,9,3736,Adafruit_Feather_32u4,2
53,8,3205,Adafruit_Feather_32u4,2
54,10,6625,Adafruit_Feather_32u4,2
55,8,2386,Adafruit_Feather_32u4,2
56,15,5311,Adafruit_Feather_32u4,2
57,11,7903,Adafruit_Feather_32u4,2
58,8,5518,Adafruit_Feather_32u4,2
59,12,5851,Adafruit_Feather_32u4,2
60,5,532,Adafruit_Feather_32u4,2
61,9,7417,Adafruit_Feather_32u4,2
62,22,4402,Adafruit_Feather_32u4,2
63,8,1414,Adafruit_Feather_32u4,2
64,8,6445,Adafruit_Feather_32u4,2
65,13,6382,Adafruit_Feather_32u4,2
66,8,3232,Adafruit_Feather_32u4,2
67,7,3034,Adafruit_Feather_32u4,2
68,9,1747,Adafruit_Feather_32u4,2
69,21,4762,Adafruit_Feather_32u4,2
70,14,8767,Adafruit_Feather_32u4,2
71,13,4294,Adafruit_Feather_32u4,2
72,8,2197,Adafruit_Feather_32u4,2
73,9,3889,Adafruit_Feather_32u4,2
74,11,8587,Adafruit_Feather_32u4,2
75,17,1171,Adafruit_Feather_32u4,2
76,12,8605,Adafruit_Feather_32u4,2
77,9,1459,Adafruit_Feather_32u4,2
78,8,3520,Adafruit_Feather_32u4,2
79,6,1252,Adafruit_Feather_32u4,2
80,10,5239,Adafruit_Feather_32u4,2
81,9,5824,Adafruit_Feather_32u4,2
82,18,4861,Adafruit_Feather_32u4,2
83,9,5086,Adafruit_Feather_32u4,2
84,12,3223,Adafruit_Feather_32u4,2
85,10,3826,Adafruit_Feather_32u4,2
86,9,3601,Adafruit_Feather_32u4,2
87,8,3538,Adafruit_Feather_32u4,2
88,7,5734,Adafruit_Feather_32u4,2
89,6,1792,Adafruit_Feather_32u4,2
90,7,5626,Adafruit_Feather_32u4,2
91,8,1900,Adafruit_Feather_32u4,2
92,12,7003,Adafruit_Feather_32u4,2
93,9,4654,Adafruit_Feather_32u4,2
94,7,3583,Adafruit_Feather_32u4,2
95,17,8551,Adafruit_Feather_32u4,2
96,14,8074,Adafruit_Feather_32u4,2
97,10,1675,Adafruit_Feather_32u4,2
98,11,8497,Adafruit_Feather_32u4,2
99,12,8515,Adafruit_Feather_32u4,2
100,9,5401,Adafruit_Feather_32u4,2
101,14,8020,Adafruit_Feather_32u4,2
102,9,3979,Adafruit_Feather_32u4,2
103,8,2683,Adafruit_Feather_32u4,2
104,7,6247,Adafruit_Feather_32u4,2
105,2,334,Adafruit_Feather_32u4,2
106,14,4006,Adafruit_Feather_32u4,2
107,15,8470,Adafruit_Feather_32u4,2
108,7,2116,Adafruit_Feather_32u4,2
109,9,1243,Adafruit_Feather_32u4,2
110,11,3790,Adafruit_Feather_32u4,2
111,10,8650,Adafruit_Feather_32u4,2
112,6,2485,Adafruit_Feather_32u4,2
113,14,2980,Adafruit_Feather_32u4,2
114,10,4510,Adafruit_Feather_32u4,2
115,3,190,Adafruit_Feather_32u4,2
116,10,2422,Adafruit_Feather_32u4,2
117,11,8173,Adafruit_Feather_32u4,2
118,9,1486,Adafruit_Feather_32u4,2
119,9,6706,Adafruit_Feather_32u4,2
120,12,7660,Adafruit_Feather_32u4,2
121,1334,6436,Adafruit_Feather_32u4,2
122,11,5275,Adafruit_Feather_32u4,2
123,9,6220,Adafruit_Feather_32u4,2
124,10,6553,Adafruit_Feather_32u4,2
125,13,6949,Adafruit_Feather_32u4,2
126,9,7552,Adafruit_Feather_32u4,2
127,9,8740,Adafruit_Feather_32u4,2
128,10,8623,Adafruit_Feather_32u4,2
129,6,8092,Adafruit_Feather_32u4,2
130,7,7957,Adafruit_Feather_32u4,2
131,15,8389,Adafruit_Feather_32u4,2
132,10,8425,Adafruit_Feather_32u4,2
133,481,253,Adafruit_Feather_32u4,2
134,8,4411,Adafruit_Feather_32u4,2
135,7,6643,Adafruit_Feather_32u4,2
136,12,7210,Adafruit_Feather_32u4,2
137,17,2791,Adafruit_Feather_32u4,2
138,9,6049,Adafruit_Feather_32u4,2
139,7,5266,Adafruit_Feather_32u4,2
140,8,1027,Adafruit_Feather_32u4,2
141,15,7282,Adafruit_Feather_32u4,2
142,12,8821,Adafruit_Feather_32u4,2
143,16,469,Adafruit_Feather_32u4,2
144,10,7795,Adafruit_Feather_32u4,2
145,15,6877,Adafruit_Feather_32u4,2
146,10,5104,Adafruit_Feather_32u4,2
147,9,5923,Adafruit_Feather_32u4,2
148,18,3304,Adafruit_Feather_32u4,2
149,7,4645,Adafruit_Feather_32u4,2
150,13,6157,Adafruit_Feather_32u4,2
151,12,7777,Adafruit_Feather_32u4,2
152,6,487,Adafruit_Feather_32u4,2
153,7,631,Adafruit_Feather_32u4,2
154,630,235,Adafruit_Feather_32u4,2
155,9,2917,Adafruit_Feather_32u4,2
156,13,5842,Adafruit_Feather_32u4,2
157,14,5113,Adafruit_Feather_32u4,2
158,14,4726,Adafruit_Feather_32u4,2
159,8,3340,Adafruit_Feather_32u4,2
160,9,8596,Adafruit_Feather_32u4,2
161,4,1927,Adafruit_Feather_32u4,2
162,8,1720,Adafruit_Feather_32u4,2
163,9,5203,Adafruit_Feather_32u4,2
164,21,7120,Adafruit_Feather_32u4,2
165,13,2647,Adafruit_Feather_32u4,2
166,16,7930,Adafruit_Feather_32u4,2
167,14,4051,Adafruit_Feather_32u4,2
168,14,4843,Adafruit_Feather_32u4,2
169,23,5779,Adafruit_Feather_32u4,2
170,18,3385,Adafruit_Feather_32u4,2
171,10,289,Adafruit_Feather_32u4,2
172,18,2188,Adafruit_Feather_32u4,2
173,12,1837,Adafruit_Feather_32u4,2
174,11,802,Adafruit_Feather_32u4,2
175,18,5230,Adafruit_Feather_32u4,2
176,17,4591,Adafruit_Feather_32u4,2
177,18,1918,Adafruit_Feather_32u4,2
178,14,5122,Adafruit_Feather_32u4,2
179,13,1819,Adafruit_Feather_32u4,2
180,12,2017,Adafruit_Feather_32u4,2
181,26,3547,Adafruit_Feather_32u4,2
182,34,1882,Adafruit_Feather_32u4,2
183,18,4888,Adafruit_Feather_32u4,2
184,13,1558,Adafruit_Feather_32u4,2
185,14,883,Adafruit_Feather_32u4,2
186,12,3322,Adafruit_Feather_32u4,2
187,15,3295,Adafruit_Feather_32u4,2
188,14,3151,Adafruit_Feather_32u4,2
189,7,478,Adafruit_Feather_32u4,2
190,27,6616,Adafruit_Feather_32u4,2
191,17,4231,Adafruit_Feather_32u4,2
192,12,6193,Adafruit_Feather_32u4,2
193,9,3115,Adafruit_Feather_32u4,2
194,7,1018,Adafruit_Feather_32u4,2
195,11,3781,Adafruit_Feather_32u4,2
196,16,4519,Adafruit_Feather_32u4,2
197,9,4933,Adafruit_Feather_32u4,2
198,7,919,Adafruit_Feather_32u4,2
199,11,5671,Adafruit_Feather_32u4,2
200,8,4663,Adafruit_Feather_32u4,2
201,3,496,Adafruit_Feather_32u4,2
202,6,2242,Adafruit_Feather_32u4,2
203,7,1378,Adafruit_Feather_32u4,2
204,8,2377,Adafruit_Feather_32u4,2
205,15,6895,Adafruit_Feather_32u4,2
206,8,1531,Adafruit_Feather_32u4,2
207,8,3475,Adafruit_Feather_32u4,2
208,7,8902,Adafruit_Feather_32u4,2
209,10,9046,Adafruit_Feather_32u4,2
210,11,1477,Adafruit_Feather_32u4,2
211,20,3394,Adafruit_Feather_32u4,2
212,9,5077,Adafruit_Feather_32u4,2
213,8,2854,Adafruit_Feather_32u4,2
214,12,8884,Adafruit_Feather_32u4,2
215,11,3916,Adafruit_Feather_32u4,2
216,13,4312,Adafruit_Feather_32u4,2
217,12,2098,Adafruit_Feather_32u4,2
218,8,2989,Adafruit_Feather_32u4,2
219,8,9019,Adafruit_Feather_32u4,2
220,9,2089,Adafruit_Feather_32u4,2
221,7,667,Adafruit_Feather_32u4,2
222,7,2251,Adafruit_Feather_32u4,2
223,12,5896,Adafruit_Feather_32u4,2
224,17,4465,Adafruit_Feather_32u4,2
225,1137,3124,Adafruit_Feather_32u4,2
226,7,3745,Adafruit_Feather_32u4,2
227,9,3187,Adafruit_Feather_32u4,2
228,11,6985,Adafruit_Feather_32u4,2
229,7,5554,Adafruit_Feather_32u4,2
230,481,127,Adafruit_Feather_32u4,2
231,18,4618,Adafruit_Feather_32u4,2
232,11,5167,Adafruit_Feather_32u4,2
233,5,523,Adafruit_Feather_32u4,2
234,11,8452,Adafruit_Feather_32u4,2
235,9,3925,Adafruit_Feather_32u4,2
236,7,7489,Adafruit_Feather_32u4,2
237,8,6265,Adafruit_Feather_32u4,2
238,5,1054,Adafruit_Feather_32u4,2
239,11,5707,Adafruit_Feather_32u4,2
240,5,757,Adafruit_Feather_32u4,2
241,11,4492,Adafruit_Feather_32u4,2
242,11,4159,Adafruit_Feather_32u4,2
243,18,8533,Adafruit_Feather_32u4,2
244,15,7831,Adafruit_Feather_32u4,2
245,12,7354,Adafruit_Feather_32u4,2
