counter,latency,delayTime,Device,Button
0,9,2440,Adafruit_Feather_32u4,2
1,11,5671,Adafruit_Feather_32u4,2
2,10,2422,Adafruit_Feather_32u4,2
3,9,3034,Adafruit_Feather_32u4,2
4,11,7552,Adafruit_Feather_32u4,2
5,10,6562,Adafruit_Feather_32u4,2
6,7,1576,Adafruit_Feather_32u4,2
7,17,5869,Adafruit_Feather_32u4,2
8,9,1675,Adafruit_Feather_32u4,2
9,6,2215,Adafruit_Feather_32u4,2
10,14,7984,Adafruit_Feather_32u4,2
11,14,8335,Adafruit_Feather_32u4,2
12,13,4726,Adafruit_Feather_32u4,2
13,11,2863,Adafruit_Feather_32u4,2
14,1608,2404,Adafruit_Feather_32u4,2
15,809,100,Adafruit_Feather_32u4,2
16,9,1594,Adafruit_Feather_32u4,2
17,15,5113,Adafruit_Feather_32u4,2
18,9,5518,Adafruit_Feather_32u4,2
19,12,4951,Adafruit_Feather_32u4,2
20,8,1234,Adafruit_Feather_32u4,2
21,5,1261,Adafruit_Feather_32u4,2
22,9,7462,Adafruit_Feather_32u4,2
23,20,2467,Adafruit_Feather_32u4,2
24,13,8713,Adafruit_Feather_32u4,2
25,4,244,Adafruit_Feather_32u4,2
26,639,145,Adafruit_Feather_32u4,2
27,10,1765,Adafruit_Feather_32u4,2
28,10,5275,Adafruit_Feather_32u4,2
29,9,1225,Adafruit_Feather_32u4,2
30,22,1954,Adafruit_Feather_32u4,2
31,11,7120,Adafruit_Feather_32u4,2
32,16,2017,Adafruit_Feather_32u4,2
33,9,2494,Adafruit_Feather_32u4,2
34,8,1783,Adafruit_Feather_32u4,2
35,7,5617,Adafruit_Feather_32u4,2
36,15,4915,Adafruit_Feather_32u4,2
37,9,8803,Adafruit_Feather_32u4,2
38,12,5932,Adafruit_Feather_32u4,2
39,8,658,Adafruit_Feather_32u4,2
40,10,4375,Adafruit_Feather_32u4,2
41,9,4771,Adafruit_Feather_32u4,2
42,14,3061,Adafruit_Feather_32u4,2
43,12,2881,Adafruit_Feather_32u4,2
44,14,3889,Adafruit_Feather_32u4,2
45,8,2593,Adafruit_Feather_32u4,2
46,7,1126,Adafruit_Feather_32u4,2
47,9,5383,Adafruit_Feather_32u4,2
48,13,8137,Adafruit_Feather_32u4,2
49,9,3457,Adafruit_Feather_32u4,2
50,15,6994,Adafruit_Feather_32u4,2
51,11,7795,Adafruit_Feather_32u4,2
52,17,6886,Adafruit_Feather_32u4,2
53,14,2026,Adafruit_Feather_32u4,2
54,1111,4330,Adafruit_Feather_32u4,2
55,14,8947,Adafruit_Feather_32u4,2
56,7,2431,Adafruit_Feather_32u4,2
57,15,2944,Adafruit_Feather_32u4,2
58,13,6913,Adafruit_Feather_32u4,2
59,8,1315,Adafruit_Feather_32u4,2
60,7,1504,Adafruit_Feather_32u4,2
61,8,2935,Adafruit_Feather_32u4,2
62,145,631,Adafruit_Feather_32u4,2
63,8,1909,Adafruit_Feather_32u4,2
64,18,1288,Adafruit_Feather_32u4,2
65,10,3538,Adafruit_Feather_32u4,2
66,6,613,Adafruit_Feather_32u4,2
67,15,7372,Adafruit_Feather_32u4,2
68,9,2728,Adafruit_Feather_32u4,2
69,10,1144,Adafruit_Feather_32u4,2
70,10,3997,Adafruit_Feather_32u4,2
71,9,5770,Adafruit_Feather_32u4,2
72,10,2206,Adafruit_Feather_32u4,2
73,14,856,Adafruit_Feather_32u4,2
74,784,154,Adafruit_Feather_32u4,2
75,8,1243,Adafruit_Feather_32u4,2
76,10,4195,Adafruit_Feather_32u4,2
77,9,3745,Adafruit_Feather_32u4,2
78,11,6526,Adafruit_Feather_32u4,2
79,10,7669,Adafruit_Feather_32u4,2
80,22,4699,Adafruit_Feather_32u4,2
81,10,1612,Adafruit_Feather_32u4,2
82,11,3115,Adafruit_Feather_32u4,2
83,12,8623,Adafruit_Feather_32u4,2
84,11,1936,Adafruit_Feather_32u4,2
85,10,8704,Adafruit_Feather_32u4,2
86,16,8848,Adafruit_Feather_32u4,2
87,11,5941,Adafruit_Feather_32u4,2
88,10,1882,Adafruit_Feather_32u4,2
89,12,7057,Adafruit_Feather_32u4,2
90,143,721,Adafruit_Feather_32u4,2
91,229,676,Adafruit_Feather_32u4,2
92,26,3673,Adafruit_Feather_32u4,2
93,19,8398,Adafruit_Feather_32u4,2
94,12,7903,Adafruit_Feather_32u4,2
95,8,8029,Adafruit_Feather_32u4,2
96,7,2971,Adafruit_Feather_32u4,2
97,10,5320,Adafruit_Feather_32u4,2
98,3,928,Adafruit_Feather_32u4,2
99,11,8119,Adafruit_Feather_32u4,2
100,9,5824,Adafruit_Feather_32u4,2
101,7,3898,Adafruit_Feather_32u4,2
102,10,4402,Adafruit_Feather_32u4,2
103,17,7390,Adafruit_Feather_32u4,2
104,10,5122,Adafruit_Feather_32u4,2
105,10,2062,Adafruit_Feather_32u4,2
106,8,8533,Adafruit_Feather_32u4,2
107,5,829,Adafruit_Feather_32u4,2
108,10,4663,Adafruit_Feather_32u4,2
109,9,5176,Adafruit_Feather_32u4,2
110,12,4168,Adafruit_Feather_32u4,2
111,10,2773,Adafruit_Feather_32u4,2
112,10,3430,Adafruit_Feather_32u4,2
113,5,1117,Adafruit_Feather_32u4,2
114,10,5851,Adafruit_Feather_32u4,2
115,3,361,Adafruit_Feather_32u4,2
116,7,3637,Adafruit_Feather_32u4,2
117,5,1333,Adafruit_Feather_32u4,2
118,18,2449,Adafruit_Feather_32u4,2
119,11,1828,Adafruit_Feather_32u4,2
120,8,3475,Adafruit_Feather_32u4,2
121,12,3682,Adafruit_Feather_32u4,2
122,12,7516,Adafruit_Feather_32u4,2
123,10,7255,Adafruit_Feather_32u4,2
124,22,6940,Adafruit_Feather_32u4,2
125,13,5419,Adafruit_Feather_32u4,2
126,9,2575,Adafruit_Feather_32u4,2
127,10,2548,Adafruit_Feather_32u4,2
128,8,1549,Adafruit_Feather_32u4,2
129,9,4681,Adafruit_Feather_32u4,2
130,7,1567,Adafruit_Feather_32u4,2
131,14,7975,Adafruit_Feather_32u4,2
132,19,7534,Adafruit_Feather_32u4,2
133,10,8299,Adafruit_Feather_32u4,2
134,8,1603,Adafruit_Feather_32u4,2
135,10,7174,Adafruit_Feather_32u4,2
136,11,7147,Adafruit_Feather_32u4,2
137,7,919,Adafruit_Feather_32u4,2
138,5,604,Adafruit_Feather_32u4,2
139,5,1153,Adafruit_Feather_32u4,2
140,4,370,Adafruit_Feather_32u4,2
141,10,7651,Adafruit_Feather_32u4,2
142,8,7849,Adafruit_Feather_32u4,2
143,11,7480,Adafruit_Feather_32u4,2
144,10,6058,Adafruit_Feather_32u4,2
145,3,523,Adafruit_Feather_32u4,2
146,5,406,Adafruit_Feather_32u4,2
147,12,5104,Adafruit_Feather_32u4,2
148,10,5059,Adafruit_Feather_32u4,2
149,9,2530,Adafruit_Feather_32u4,2
150,8,5752,Adafruit_Feather_32u4,2
151,14,5860,Adafruit_Feather_32u4,2
152,8,3142,Adafruit_Feather_32u4,2
153,9,1945,Adafruit_Feather_32u4,2
154,12,8497,Adafruit_Feather_32u4,2
155,11,2485,Adafruit_Feather_32u4,2
156,9,5473,Adafruit_Feather_32u4,2
157,10,3880,Adafruit_Feather_32u4,2
158,7,1324,Adafruit_Feather_32u4,2
159,15,8596,Adafruit_Feather_32u4,2
160,10,6688,Adafruit_Feather_32u4,2
161,11,5590,Adafruit_Feather_32u4,2
162,7,3358,Adafruit_Feather_32u4,2
163,5,2071,Adafruit_Feather_32u4,2
164,16,3151,Adafruit_Feather_32u4,2
165,8,3826,Adafruit_Feather_32u4,2
166,12,8524,Adafruit_Feather_32u4,2
167,12,4969,Adafruit_Feather_32u4,2
168,5,1342,Adafruit_Feather_32u4,2
169,8,5374,Adafruit_Feather_32u4,2
170,15,5698,Adafruit_Feather_32u4,2
171,12,5743,Adafruit_Feather_32u4,2
172,9,2152,Adafruit_Feather_32u4,2
173,13,8407,Adafruit_Feather_32u4,2
174,9,3628,Adafruit_Feather_32u4,2
175,10,7264,Adafruit_Feather_32u4,2
176,8,496,Adafruit_Feather_32u4,2
177,12,847,Adafruit_Feather_32u4,2
178,9,2188,Adafruit_Feather_32u4,2
179,13,6049,Adafruit_Feather_32u4,2
180,12,5491,Adafruit_Feather_32u4,2
181,11,5797,Adafruit_Feather_32u4,2
182,7,1684,Adafruit_Feather_32u4,2
183,9,5680,Adafruit_Feather_32u4,2
184,20,3952,Adafruit_Feather_32u4,2
185,10,4213,Adafruit_Feather_32u4,2
186,10,2917,Adafruit_Feather_32u4,2
187,10,4942,Adafruit_Feather_32u4,2
188,9,4879,Adafruit_Feather_32u4,2
189,9,2602,Adafruit_Feather_32u4,2
190,10,5995,Adafruit_Feather_32u4,2
191,17,8470,Adafruit_Feather_32u4,2
192,11,6922,Adafruit_Feather_32u4,2
