counter,latency,delayTime,Device,Button
0,13,6535,Adafruit_Feather_32u4,3
1,10,6103,Adafruit_Feather_32u4,3
2,13,7012,Adafruit_Feather_32u4,3
3,10,2224,Adafruit_Feather_32u4,3
4,14,5185,Adafruit_Feather_32u4,3
5,74,5563,Adafruit_Feather_32u4,3
6,14,8812,Adafruit_Feather_32u4,3
7,15,3178,Adafruit_Feather_32u4,3
8,14,6751,Adafruit_Feather_32u4,3
9,1168,7480,Adafruit_Feather_32u4,3
10,801,199,Adafruit_Feather_32u4,3
11,12,7741,Adafruit_Feather_32u4,3
12,8,1801,Adafruit_Feather_32u4,3
13,7,9082,Adafruit_Feather_32u4,3
14,3,154,Adafruit_Feather_32u4,3
15,6,5068,Adafruit_Feather_32u4,3
16,5,1081,Adafruit_Feather_32u4,3
17,6,3277,Adafruit_Feather_32u4,3
18,6,4897,Adafruit_Feather_32u4,3
19,8,7237,Adafruit_Feather_32u4,3
20,8,2719,Adafruit_Feather_32u4,3
21,5,1306,Adafruit_Feather_32u4,3
22,8,8002,Adafruit_Feather_32u4,3
23,8,1639,Adafruit_Feather_32u4,3
24,11,7309,Adafruit_Feather_32u4,3
25,24,4816,Adafruit_Feather_32u4,3
26,10,2503,Adafruit_Feather_32u4,3
27,9,4312,Adafruit_Feather_32u4,3
28,10,6184,Adafruit_Feather_32u4,3
29,11,2620,Adafruit_Feather_32u4,3
30,10,1999,Adafruit_Feather_32u4,3
31,10,4015,Adafruit_Feather_32u4,3
32,21,2071,Adafruit_Feather_32u4,3
33,11,3853,Adafruit_Feather_32u4,3
34,11,7804,Adafruit_Feather_32u4,3
35,14,6274,Adafruit_Feather_32u4,3
36,11,1360,Adafruit_Feather_32u4,3
37,10,5608,Adafruit_Feather_32u4,3
38,26,3628,Adafruit_Feather_32u4,3
39,10,1234,Adafruit_Feather_32u4,3
40,8,1612,Adafruit_Feather_32u4,3
41,8,2008,Adafruit_Feather_32u4,3
42,10,5122,Adafruit_Feather_32u4,3
43,20,3808,Adafruit_Feather_32u4,3
44,9,2206,Adafruit_Feather_32u4,3
45,11,7264,Adafruit_Feather_32u4,3
46,8,2782,Adafruit_Feather_32u4,3
47,10,6688,Adafruit_Feather_32u4,3
48,13,8920,Adafruit_Feather_32u4,3
49,13,8542,Adafruit_Feather_32u4,3
50,34,7651,Adafruit_Feather_32u4,3
51,6,4420,Adafruit_Feather_32u4,3
52,6,1432,Adafruit_Feather_32u4,3
53,3,622,Adafruit_Feather_32u4,3
54,9,1981,Adafruit_Feather_32u4,3
