counter,latency,delayTime,Device,Button
0,12,7210,Adafruit_Feather_32u4,4
1,9,3313,Adafruit_Feather_32u4,4
2,10,4960,Adafruit_Feather_32u4,4
3,11,2647,Adafruit_Feather_32u4,4
4,11,4114,Adafruit_Feather_32u4,4
5,12,1198,Adafruit_Feather_32u4,4
6,12,3934,Adafruit_Feather_32u4,4
7,20,8101,Adafruit_Feather_32u4,4
8,11,8326,Adafruit_Feather_32u4,4
9,7,109,Adafruit_Feather_32u4,4
10,10,6427,Adafruit_Feather_32u4,4
11,13,5374,Adafruit_Feather_32u4,4
12,13,5176,Adafruit_Feather_32u4,4
13,348,5860,Adafruit_Feather_32u4,4
14,11,6508,Adafruit_Feather_32u4,4
15,13,3610,Adafruit_Feather_32u4,4
16,19,5203,Adafruit_Feather_32u4,4
17,11,8335,Adafruit_Feather_32u4,4
18,8,3259,Adafruit_Feather_32u4,4
19,9,8947,Adafruit_Feather_32u4,4
20,9,7894,Adafruit_Feather_32u4,4
21,12,3178,Adafruit_Feather_32u4,4
22,10,2134,Adafruit_Feather_32u4,4
23,10,514,Adafruit_Feather_32u4,4
24,9,8857,Adafruit_Feather_32u4,4
25,12,6778,Adafruit_Feather_32u4,4
26,12,9046,Adafruit_Feather_32u4,4
27,12,7057,Adafruit_Feather_32u4,4
28,11,5248,Adafruit_Feather_32u4,4
29,9,6562,Adafruit_Feather_32u4,4
30,16,4312,Adafruit_Feather_32u4,4
31,11,8398,Adafruit_Feather_32u4,4
32,5,838,Adafruit_Feather_32u4,4
33,10,1612,Adafruit_Feather_32u4,4
34,9,5140,Adafruit_Feather_32u4,4
35,10,8407,Adafruit_Feather_32u4,4
36,13,7489,Adafruit_Feather_32u4,4
37,26,8722,Adafruit_Feather_32u4,4
38,7,4510,Adafruit_Feather_32u4,4
39,6,1837,Adafruit_Feather_32u4,4
40,8,4429,Adafruit_Feather_32u4,4
41,9,8623,Adafruit_Feather_32u4,4
42,8,7102,Adafruit_Feather_32u4,4
43,5,379,Adafruit_Feather_32u4,4
44,7,7705,Adafruit_Feather_32u4,4
45,5,613,Adafruit_Feather_32u4,4
46,10,3799,Adafruit_Feather_32u4,4
47,10,8902,Adafruit_Feather_32u4,4
48,12,1531,Adafruit_Feather_32u4,4
