#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;5
#minDelay:;100
#maxDelay:;10000
#iterations:;100

counter;latency;delayTime
0;144803;4951
1;147365;1882
2;142596;7327
3;145645;3268
4;140904;8020
5;144949;5050
6;147940;991
7;145461;4456
8;147534;1387
9;145257;3664
10;145360;4555
11;146251;2674
12;143274;6634
13;143362;5545
14;146732;2179
15;140898;9010
16;145152;3763
17;146543;3367
18;144732;4159
19;145064;4852
20;145945;2971
21;147823;1189
22;147265;2476
23;148707;199
24;142540;7030
25;144703;4258
26;145498;3169
27;144685;5248
28;140034;8317
29;144280;5644
30;142667;6238
31;139682;9208
32;141146;8812
33;145053;3862
34;143890;5941
35;140393;8416
36;146875;1981
37;145507;4357
38;141464;7228
39;142901;6931
40;142391;6436
41;148132;793
42;148663;1288
43;146159;2773
44;148212;1684
45;148441;496
46;143533;5347
47;140132;9604
48;140790;8119
49;143230;6733
50;144927;3961
51;148240;694
52;146400;3466
53;144167;4654
54;142365;7525
55;147861;1090
56;146642;2278
57;141341;8614
58;145316;3565
59;142789;7129
60;139463;9505
61;143883;6040
62;142806;6139
63;144873;4060
64;143383;6535
65;148057;892
66;141729;8218
67;141264;7624
68;139177;9703
69;140045;9901
70;144160;4753
71;143575;6337
72;140378;8515
73;147277;1585
74;142538;7426
75;142061;6832
76;140827;9109
77;143029;5842
78;139533;9406
79;148457;1486
80;143437;5446
81;147543;2377
82;146340;2575
83;146047;2872
84;144190;5743
85;141043;7822
86;149841;100
87;139038;9802
88;143757;5149
89;149619;298
90;145835;3070
91;149587;397
92;141154;7723
93;140942;7921
94;140629;9307
95;147178;1783
96;149248;595
97;140063;8911
98;147843;2080
99;140182;8713
